Case: Incheon Aerotropolis / IFEZ (Hàn Quốc) — sân bay Incheon International Airport (ICN)
Đặc thù: aerotropolis "hai lõi" — Air-City trong ranh giới sân bay (IIAC vận hành) + IFEZ ba phân khu
Songdo / Yeongjong / Cheongna (IFEZ Authority quản trị). Nguồn dưới đây đã fetch xác minh 09/08/2026.

| #      | Website / nguồn                                                                                                             | Tiêu chí trong benchmark                      | Có thể lấy dữ liệu gì?                                                                                                          | Mức độ ưu tiên |
| **10** | [IFEZ – Why IFEZ (lợi thế cạnh tranh)](https://www.ifez.go.kr/world/content/view.do?sn=484)                                 | **Vị trí / thuận tiện / CVP**                 | `distance_to_city_km`, `cvp_convenience`: cách trung tâm Incheon 8 km, cách trung tâm Seoul ~50 km, các đô thị lớn 60–90 phút; tổng 122,34 ㎢ (=42 lần Yeouido); tổng vốn 81.333,1 tỷ won | ⭐⭐⭐⭐⭐          |
| **11** | [IFEZ – About Us / Authority](https://www.ifez.go.kr/world/content/view.do?sn=616)                                          | **Chủ đầu tư / quản trị / thương hiệu**       | `investor_governance`, `cvp_brand`: Incheon Free Economic Zone Authority (Commissioner, Yeongjong & Cheongna Management Divisions); 147 thành phố lớn trong bán kính 3 giờ bay; hơn 400.000 cư dân, 3.300 doanh nghiệp | ⭐⭐⭐⭐⭐          |
| **12** | [IFEZ – Cổng tiếng Anh (trang chủ)](https://www.ifez.go.kr/world/main.do)                                                  | **Định vị 3 phân khu / ngành**                | `positioning` từng phân khu: Songdo (high-tech knowledge service, bio, MICE), Yeongjong (logistics & tourism quanh sân bay), Cheongna (business + residence, robotics); ưu đãi đầu tư, thủ tục | ⭐⭐⭐⭐           |
| **13** | [Korea FEZ – IFEZ Area Information](https://www.fez.go.kr/portal/en/ifez.do)                                               | **Số liệu chính thức cấp quốc gia**           | Đối chiếu chéo `area_km2` & dân số: Songdo 53,36 / Yeongjong 51,26 / Cheongna 17,80 ㎢; chỉ định 11/08/2003; kỳ phát triển 2003–2030; định vị "Gateway to Korea" | ⭐⭐⭐⭐⭐          |
| **14** | [Korea FEZ – Cổng đặc khu kinh tế quốc gia](https://www.fez.go.kr/portal/en/main.do)                                       | **Bối cảnh chính sách**                       | `development_context`, `economic_zone_name/year`: khung pháp lý FEZ, 9 đặc khu (Incheon là đặc khu số 1), ưu đãi thuế, giảm quy định, thủ tục hành chính | ⭐⭐⭐⭐           |
| **15** | [Seoul Metropolitan Gov – Getting to Seoul from Incheon Airport](https://english.seoul.go.kr/service/entry/getting-to-seoul-from-incheon-airport/) | **Thuận tiện / Rail**                         | `rail_connections`, `cvp_convenience`: AREX Express T1→Seoul Station 43 phút / ₩9.500; All-stop 59 phút / ₩4.150–4.750; limousine bus 60–80 phút / ₩5.000–15.000; taxi ₩40.000–55.000 + phí cao tốc ₩7.900 | ⭐⭐⭐⭐⭐          |
| **16** | [AREX – Airport Railroad (trang công ty)](https://www.arex.or.kr/main.do)                                                  | **Hạ tầng đường sắt sân bay**                 | `rail_connections`: đơn vị vận hành tuyến sân bay, City Airport Terminal tại Seoul Station, chiến lược & an toàn, tin vận hành | ⭐⭐⭐⭐           |
| **17** | [INSPIRE Entertainment Resort (VISITKOREA)](https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=187952) | **Trải nghiệm / tiện ích điểm nhấn**          | `highlight_amenities`, `cvp_experience`: 1.275 phòng khách sạn 5 sao (3 toà), arena 15.000 chỗ, công viên nước mái vòm kính, casino lớn nhất cho người nước ngoài, ballroom lớn nhất Hàn Quốc (MICE), phố digital 150 m, công viên ngoài trời 30.000 người — nằm trong IBC-III, đảo Yeongjong | ⭐⭐⭐⭐⭐          |
| **18** | [Wikipedia – Incheon International Airport](https://en.wikipedia.org/wiki/Incheon_International_Airport)                    | **Đối chiếu KPI / lịch sử / hạ tầng**         | Đối chiếu `passengers_million` 71.156.947 & `cargo_million_tonnes` 2.946.902 tấn & `air_movements` 413.200 (2024); khai trương 29/03/2001; Phase 4 (2017–2024) nâng công suất 90→107 chuyến/giờ; 3 nhà ga, 111 cửa ra máy bay | ⭐⭐⭐⭐           |
| **19** | [Wikipedia – Incheon Free Economic Zone](https://en.wikipedia.org/wiki/Incheon_Free_Economic_Zone)                          | **Đối chiếu quy mô / quản trị**               | Chỉ định 8/2003; tổng 209,38 ㎢ (gồm cả phần chưa phát triển); Yeongjong 138,33 ㎢ lấy sân bay làm lõi — mô tả rõ là "aerotropolis"; Songdo ~86% hoàn thành, ~167.000 cư dân | ⭐⭐⭐⭐           |
| **20** | [Incheon Metropolitan City – English](https://www.incheon.go.kr/en/EN010101)                                               | **Bối cảnh đô thị cấp thành phố**             | `reference_city`, `development_context`: hành chính 2 Gun · 8 Gu · 1 Eup · 19 Myeon · 135 Dong; các mục Đầu tư, Sinh sống, Du lịch & Giao thông | ⭐⭐⭐            |
| **21** | [Incheon – Statistics & Facts](https://www.incheon.go.kr/en/EN011101)                                                       | **Xếp hạng / chỉ số đô thị**                  | Happy City Index 2026 (hạng 49), Smart Centres Index 2025 (hạng 12), Global Cities Index 2025 (hạng 84); link ấn phẩm thống kê tải về | ⭐⭐⭐            |
